40
1,275.539443443,1.23955024557
2,272.725609042,3.63032782172
5,263.168305857,19.7905592831
10,241.91761675,64.4408475687
20,206.398999228,119.456801585
50,172.619820413,126.684281948
100,157.53246113,102.205226007
500,123.945139544,84.6589499715
1000,102.503176483,81.599856449
2000,79.9848703598,120.00160026
5000,70.9615200067,244.892743022
50
1,275.157200859,1.88886714189
2,271.808864616,5.37758970925
5,261.430590695,27.1559925044
10,240.373716471,78.2510121284
20,206.64931224,130.456344076
50,173.593172783,132.033510515
100,158.357187143,104.620344346
500,116.040787056,117.11742776
1000,92.0536880285,126.248715105
2000,66.4298934038,123.482915306
5000,50.4082629449,114.669793303
57
1,274.895359901,2.41249473607
2,271.210507401,6.73339005449
5,260.504263233,32.2132666759
10,239.864583149,85.9901657624
20,207.186666813,135.963023446
50,174.319318971,134.966806286
100,158.909945288,106.209954323
500,116.212664455,152.037911024
1000,92.8548381712,162.623823671
2000,68.1023738365,169.695758383
5000,64.7247315415,371.913902693
30
1,275.931317521,0.715404157365
2,273.716749559,2.15549503662
5,265.492861608,12.6741006573
10,245.035623824,47.3342705826
20,207.556893567,103.063903646
50,171.973997206,119.446274833
100,156.789148948,99.7981743306
500,115.253360614,140.985906088
1000,91.8216054117,136.102897406
2000,66.4158200585,153.299915218
5000,54.247117455,270.237004068
