id,label
1,1
2,1
3,0
4,0
5,1
6,1
7,1
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,1
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,0
76,1
77,0
78,1
79,0
80,1
81,0
82,0
83,0
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,1
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,1
103,0
104,1
105,1
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,1
129,0
130,0
131,1
132,0
133,0
134,0
135,0
136,1
137,0
138,1
139,0
140,0
141,0
142,0
143,0
144,1
145,0
146,1
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,0
155,1
156,0
157,1
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,0
172,0
173,1
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,1
237,0
238,1
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,0
251,1
252,0
253,0
254,0
255,0
256,1
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,1
269,1
270,0
271,1
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,0
303,0
304,0
305,1
306,1
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,0
315,1
316,0
317,1
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,1
338,0
339,1
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,0
349,1
350,0
351,0
352,0
353,0
354,1
355,1
356,1
357,0
358,1
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,0
372,1
373,0
374,0
375,1
376,0
377,1
378,0
379,0
380,1
381,1
382,1
383,0
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,1
402,1
403,0
404,1
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,1
413,1
414,0
415,0
416,1
417,0
418,0
419,1
420,1
421,1
422,0
423,1
424,1
425,0
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,0
434,0
435,1
436,0
437,0
438,1
439,1
440,0
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,0
461,0
462,0
463,1
464,0
465,0
466,0
467,1
468,1
469,0
470,1
471,1
472,0
473,0
474,0
475,1
476,1
477,0
478,0
479,1
480,0
481,1
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,0
493,1
494,0
495,1
496,0
497,1
498,0
499,1
500,1
501,0
502,0
503,1
504,1
505,1
506,1
507,1
508,0
509,1
510,0
511,0
512,0
513,1
514,1
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,1
523,0
524,1
525,1
526,0
527,1
528,1
529,0
530,0
531,0
532,0
533,1
534,1
535,0
536,0
537,0
538,0
539,0
540,0
541,1
542,0
543,1
544,0
545,0
546,1
547,0
548,1
549,0
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,0
558,1
559,1
560,0
561,0
562,1
563,1
564,1
565,0
566,1
567,0
568,0
569,0
570,1
571,0
572,1
573,1
574,1
575,0
576,1
577,0
578,0
579,1
580,1
581,0
582,0
583,1
584,0
585,0
586,1
587,0
588,1
589,0
590,1
591,1
592,0
593,0
594,1
595,0
596,0
597,1
598,0
599,1
600,0
